sentiment,headline
neutral,EUR 100mn in Net Profit Amid Stable Sales Growth.
positive,"As Power Units and Technology Services Expand in Europe, New Investments Drive Growth as Power Unit & Technology Services Expansion in Europe"
positive,As Share Prices Rise as Business Development Plan Exceeds Expectations in Q2 as Share Price Increases as Shareholders' Share Prices
positive,As Share Prices Rise as Business Development Plan Exceeds Expectations in Q2 – Earnings Per Share Increase as Business Growth Plan
positive,Shares Rise as Business Development Plan Exceeds Expectations in Q2 as Share Prices Increase as Shares Price Increase as Business Growth Plan
positive,"UPM Reports Strong Recovery in Media and Electronics Unit Following Industry Growth, UPM reports strong recovery in UPM's Media and"
positive,As Share Prices Increase as Business Development Plan Exceeds Expectations in Q2 – Earnings Percentage of Shareholders
positive,"MLN Euro Project Drives Up Manufacturing Output, Boosting Stora Enso’s Annual Growth. ML"
positive,"UPM Reports Strong Recovery in Media and Electronics Unit Following Industry Growth, UPM reports strong recovery in UPM's Media and"
positive,"MLN Euro Project Drives Up Manufacturing Output, Boosting Stora Enso’s Annual Growth. ML"
positive,"As Power Units and Technology Services Expand in Europe, New Investments Drive Growth as Power Unit & Technology Services Expansion in Europe"
positive,"As Power Units and Technology Services Expand in Europe, New Investments Drive Growth as Power Unit Sales Increase in Europe."
positive,Helsinki OMX Index Surges as Nokia Announces New Contract for Technology Services . Helsinki - Nokia Suppresses
positive,As Share Prices Increase as Business Development Plan Exceeds Expectations in Q2 Earnings Percentage of Shares Increases as
positive,Helsinki OMX Index Surges as Nokia Announces New Contract for Technology Services . Helsinki - Nokia Suppresses
positive,Share Prices Rise as Business Development Plan Exceeds Expectations in Q2 as Share Price Increases as Shareholder Values Increase as Business
negative,"as Manufacturing Sector Declines in September as Investments Fall Short of Expectations . September Manufacturing Sector Decreases in September, Manufacturing Sector"
negative,Shares Drop as Paper Sector’s Share Prices Sink as Paper Industry Suffers from Lower End-of-Year Performance. Paper
negative,", Manufacturing Sector Declines in September as Investments Fall Short of Expectations . September Manufacturing Sector Decreases in September As Investments"
negative,Shares Drop as Paper Sector Suffers from Lower End-of-Year Performance. Paper Sector's Share Prices Sink as Paper
negative,Underperform in OMX Market. Nokia Shares Fall as Nokia Technology Contract Expected to Under-perform In OM
negative,4th Quarter Losses Total EUR 300mn Due to High Operating Costs and Decreased Turnover Total EUR 390mn
negative,Shares Drop as Paper Sector Suffers from Lower End-of-Year Performance. Paper Sector's Share Prices Sink as Paper
negative,Sees UPM Media Unit Suffer Decrease in Revenue Amid Global Cuts. Industry Decline Sees UP Media Unit
negative,Shares Drop as Paper Sector's Share Prices Sink as Paper Industry Suffers from Lower End-of-Year Performance. Paper
negative,Shares Drop as Paper Sector Suffers from Lower End-of-Year Performance. Paper Sector's Share Prices Sink as Paper
negative,Sees UPM Media Unit Suffer Decrease in Revenue Amid Global Cuts. Industry Decline Sees UP Media Unit
negative,Underperform in OMX Market. Nokia Shares Fall as Nokia Technology Contract Expected to Under-perform In OM
negative,Losses Total EUR 300mn Due to High Operating Costs and Decreased Turnover.
negative,"as Manufacturing Sector Declines in September as Investments Fall Short of Expectations . September Manufacturing Sector Decreases in September, Manufacturing Sector"
negative,4th Quarter Losses Total EUR 300mn Due to High Operating Costs and Decreased Turnover Total EUR 390mn
neutral,Total Revenue Remains Unchanged Despite Increased Costs in Construction Sector Despite Higher Costs In Construction Sector. Total Revenue
neutral,Total Revenue Remains Unchanged Despite Increased Costs in Construction Sector Despite Higher Costs In Construction Sector. Total Revenue
neutral,Helsinki Companies Post Mixed Results in OMX Index Annual Report for Technology Sector in Technology Sector.
neutral,"by December as Expected, With No Major Impact on Shares. MLN-Euro Project Completed by December As Expecte"
neutral,Fourth Quarter Review Shows No Major Fluctuations in Share Prices or Earnings - Qualified Quarterly Review Show
neutral,Quarterly Management Report Shows Steady Performance in Media and Solutions Units. Quarterly Business Report - Quarterly Results
neutral,Helsinki Companies Post Mixed Results in Annual OMX Index Report for Technology Sector.
neutral,Helsinki Companies Post Mixed Results in Annual OMX Index Report for Technology Sector in Technology Sector . Helsinki-based companies post mixed results in
neutral,Helsinki Companies Post Mixed Results in OMX Index Annual Report for Technology Sector in Technology Sector . Helsinki-based companies post mixed results in
neutral,"by December as Expected, With No Major Impact on Shares. MLN-Euro Project Completed by December As Expecte"
neutral,"by December as Expected, With No Major Impact on Shares. MLN-Euro Project Completed by December As Expecte"
neutral,Helsinki Companies Post Mixed Results in Annual OMX Index Report for Technology Sector in Technology Sector . Helsinki-based companies post mixed results in
neutral,Total Revenue Remains Unchanged Despite Increased Costs in Construction Sector Despite Higher Costs In Construction Sector. Total Revenue
neutral,"by December as Expected, With No Major Impact on Shares. MLN-Euro Project Completed by December As Expecte"
neutral,Quarterly Management Report Shows Steady Performance in Media and Solutions Units.
positive,"Finland Rise Sharply, Bolstering National Economy. Mobile Product Sales in Finland Rise Strong, Boosting Finnish Economy. Reports Show"
positive,Based in the Baltic Region Report Record Profits Amid Strong Demand for Green Energy Solutions Across Baltic Region. Baltic Companies Based in Baltic Region
positive,"Finland Rise Sharply, Bolstering National Economy. Mobile Product Sales in Finland Rise Strong, Bolshering Finnish Economy."
positive,"Finnish Energy Group Expands into Baltic Market, Strengthening Regional Energy Infrastructure Across Baltic Region."
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,"Finnish Energy Group Expands into Baltic Market, Strengthening Regional Energy Infrastructure Across Baltic Region."
positive,"Finnish Energy Group Expands into Baltic Market, Strengthening Regional Energy Infrastructure Across Baltic Region."
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,"Set to Boost Local Market, Creating Jobs and Driving Economic Growth in Finland. Finnland Energy Project in Finland Set To Boost"
positive,Based in the Baltic Region Report Record Profits Amid Strong Demand for Green Energy Solutions Across Baltic Region. Baltic Companies Based in Baltic Region
positive,"Finnish Energy Group Expands into Baltic Market, Strengthening Regional Energy Infrastructure Across Baltic Region."
positive,"Innovative Mobile Devices, Strengthening Market Position in the Baltic Region. Finnish Company Launches Innovative Mobile Products, Developing Market Position"
negative,"Energy Project in Finland Delayed Due to Regulatory Challenges, Affecting Investor Confidence. The Finnish Renewable Energy Project"
negative,Expansion Plans Amid Declining Demand for Local Products - Finnish Company to Scale Back Expanding Plans amid Declining
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants."
negative,"Energy Project in Finland Delayed Due to Regulatory Challenges, Affecting Investor Confidence. The Finnish Renewable Energy Project"
negative,in Finland Faces Backlash as Consumers Reject New Features. Mobile Product Launch in Finland Fails to Face Backlash As Consumers
negative,"Energy Project in Finland Delayed Due to Regulatory Challenges, Affecting Investor Confidence. The Finnish Renewable Energy Project"
negative,in Finland Faces Backlash as Consumers Reject New Features. Mobile Product Launch in Finland Fails to Face Backlash As Consumers
negative,Baltic Region Reports Losses as Economic Uncertainty Affects Market Performance. Baltic Region report losses as economic uncertainty A
negative,in Finland Faces Backlash as Consumers Reject New Features. Mobile Product Launch in Finland Fails to Face Backlash As Consumers
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants."
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants."
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants."
negative,Expansion Plans Amid Declining Demand for Local Products - Finnish Company to Scale Back Expanding Plans amid Declining
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants. Finn Mobile Faces De"
negative,"Finnish Mobile Company Faces Declining Sales in Baltic Market, Struggling to Compete with Global Giants, Facing Declining"
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,in Finland and the Baltic Discuss Potential Collaborative Projects in Energy Sector. Finnish and Baltic companies discuss potential collaborative projects in energy sector.
neutral,". According to Reports, Finnish Mobile Company Plans to Introduce New Products in Baltic Markets."
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,in Finland and the Baltic Discuss Potential Collaborative Projects in Energy Sector. Finnish and Baltic companies discuss potential collaborative projects in energy sector.
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,in Finland and the Baltic Discuss Potential Collaborative Projects in Energy Sector. Finnish and Baltic companies discuss potential collaborative projects in energy sector.
neutral,". According to Reports, Finnish Mobile Company Plans to Introduce New Products in Baltic Markets."
neutral,"Finnish Energy Project in Finland Moves Forward with Local Partnerships, Targeting Long-Term Market Growth. Finnland’s Clean Energy"
neutral,"With New Mobile Offerings, Plans to Enter Baltic Markets. Finnish Company Expands Product Line with New Mobile Offers, Plan to Enter"
neutral,Baltic Region Companies Consider Diversification Strategies Amid Changing Market Conditions In Baltic Region Baltic Region European and Nordic Region Companies Examine Divers
neutral,"With New Mobile Offerings, Plans to Enter Baltic Markets. Finnish Company Expands Product Line with New Mobile Offers, Plan to Enter"
